"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отклонения входа при использовании списка невалидных паролей.","6330","Авторизация пользователя с неверными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithInvalidCredentials"
"","1993","Добавление книги в коллекцию","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.BookStoreTest","Surefire test","tests.api.BookStoreTest","testAddBook"
"Проверка успешной авторизации через API-куки и отображения главной страницы Book Store.","9","Логин и переход в Book Store","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testLoginAndNavigateToBookStore"
"Проверка выполнения эндпоинта GenerateToken и возврата статуса Success с активным токеном.","1274","Генерация токена доступа","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.AuthorizationTest","Surefire test","tests.api.AuthorizationTest","testGenerateToken"
"Проверка корректного вызова сервисом HTTP POST метода у RestClient для эндпоинта логина и возвращения ожидаемого ответа.","3","Успешный логин пользователя через мок","Surefire suite","2026-09-18","passed","2026-09-18","tests.unit.AccountServiceUnitTest","Surefire test","tests.unit.AccountServiceUnitTest","testLoginSuccess"
"Проверяет, что при возникновении ошибки на стороне RestClient метод getBookByIsbn перехватывает исключение и возвращает null.","5","Проверка обработки ошибки при поиске книги по ISBN","Surefire suite","2026-09-18","passed","2026-09-18","tests.unit.BookStoreServiceUnitTest","Surefire test","tests.unit.BookStoreServiceUnitTest","testGetBookByIsbnNotFound"
"Проверка строки поиска в каталоге книг по заданным названиям.","245","Поиск книги в Book Store","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testSearchBookInBookStore"
"","458","Получение списка всех книг","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.BookStoreTest","Surefire test","tests.api.BookStoreTest","testGetBooks"
"Проверяет успешный сценарий генерации токена с возвратом флага isSuccess = true.","4","Успешная генерация токена (isSuccess = true)","Surefire suite","2026-09-18","passed","2026-09-18","tests.unit.AccountServiceUnitTest","Surefire test","tests.unit.AccountServiceUnitTest","testGenerateTokenSuccess"
"Проверка отклонения входа при использовании списка невалидных паролей.","6118","Авторизация пользователя с неверными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithInvalidCredentials"
"Проверяет негативный сценарий генерации токена и логирование статуса/причины ошибки.","218","Неуспешная генерация токена (isSuccess = false)","Surefire suite","2026-09-18","passed","2026-09-18","tests.unit.AccountServiceUnitTest","Surefire test","tests.unit.AccountServiceUnitTest","testGenerateTokenFailure"
"Проверка успешной авторизации с валидными логином и паролем из конфигурации.","3710","Авторизация пользователя с корректными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithValidCredentials"
"","1996","Удаление всех книг из коллекции","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.BookStoreTest","Surefire test","tests.api.BookStoreTest","testDeleteBooks"
